structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
kiddo,panda,bookshelf_small,13,0.048,2349,true,0.000729919,0.000115216,126,5
mvtable_simd,panda,bookshelf_small,13,0.048,2349,true,0.000203514,0.000168128,126,5
mvtable_mutable_simd,panda,bookshelf_small,13,0.048,2349,true,0.000186463,0.000178884,126,5
capt_simd,panda,bookshelf_small,13,0.048,2349,true,0.000317699,0.004100732,126,5
mvtable,panda,bookshelf_small,14,0.048,2365,true,0.000094758,0.000160866,10,6
mvtable_mutable,panda,bookshelf_small,14,0.048,2365,true,0.000082644,0.000178362,10,6
capt,panda,bookshelf_small,14,0.048,2365,true,0.000149195,0.003452178,10,6
kiddo,panda,bookshelf_small,14,0.048,2365,true,0.000312224,0.000108054,10,6
mvtable_simd,panda,bookshelf_small,14,0.048,2365,true,0.000083013,0.00014871,10,6
mvtable_mutable_simd,panda,bookshelf_small,14,0.048,2365,true,0.000074263,0.00017784,10,6
capt_simd,panda,bookshelf_small,14,0.048,2365,true,0.000132755,0.004062344,10,6
mvtable,panda,bookshelf_small,15,0.048,2297,true,0.002354273,0.000153669,2292,10
mvtable_mutable,panda,bookshelf_small,15,0.048,2297,true,0.002126684,0.000184751,2292,10
capt,panda,bookshelf_small,15,0.048,2297,true,0.004095263,0.003322229,2292,10
kiddo,panda,bookshelf_small,15,0.048,2297,true,0.006289884,0.000103994,2292,10
mvtable_simd,panda,bookshelf_small,15,0.048,2297,true,0.002252983,0.000167572,2292,10
mvtable_mutable_simd,panda,bookshelf_small,15,0.048,2297,true,0.002080013,0.000168935,2292,10
capt_simd,panda,bookshelf_small,15,0.048,2297,true,0.003224166,0.003966381,2292,10
mvtable,panda,bookshelf_small,16,0.048,2340,true,0.000075268,0.000157702,7,3
mvtable_mutable,panda,bookshelf_small,16,0.048,2340,true,0.00006859,0.000171042,7,3
capt,panda,bookshelf_small,16,0.048,2340,true,0.000141129,0.00344242,7,3
kiddo,panda,bookshelf_small,16,0.048,2340,true,0.000383199,0.000104073,7,3
